Наименование;Код продукции;Статус заказа;Дата отгрузки;Номер заказа;Покупатель;Количество
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;18 мая 2026 г.;НФ00-003481;Покупатель 1;275
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;20 апреля 2026 г.;НФ00-003480;Покупатель 1;275
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;16 марта 2026 г.;НФ00-003479;Покупатель 1;275
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;16 февраля 2026 г.;НФ00-003478;Покупатель 1;275
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;19 января 2026 г.;НФ00-003477;Покупатель 1;105
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;16 января 2026 г.;НФ00-004127;Покупатель 10;603
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;14 января 2026 г.;НФ00-004052;Покупатель 11;133
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;В работе;26 декабря 2025 г.;НФ00-002979;Покупатель 12;250
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;16 января 2026 г.;НФ00-004114;Покупатель 13;1065
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;3 августа 2026 г.;НФ00-003189;Покупатель 14;470
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;29 июня 2026 г.;НФ00-003181;Покупатель 14;323
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;13 февраля 2026 г.;НФ00-003188;Покупатель 14;670
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;13 февраля 2026 г.;НФ00-003184;Покупатель 14;700
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;13 февраля 2026 г.;НФ00-003178;Покупатель 14;700
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;30 марта 2026 г.;НФ00-003148;Покупатель 15;340
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;26 февраля 2026 г.;НФ00-003147;Покупатель 15;352
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;30 января 2026 г.;НФ00-003143;Покупатель 15;340
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;26 января 2026 г.;НФ00-003975;Покупатель 16;320
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;26 января 2026 г.;НФ00-003970;Покупатель 16;212
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;26 января 2026 г.;НФ00-003969;Покупатель 16;516
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;26 января 2026 г.;НФ00-003968;Покупатель 16;1368
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;23 января 2026 г.;НФ00-004094;Покупатель 17;200
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;19 января 2026 г.;НФ00-004110;Покупатель 18;59
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;16 января 2026 г.;НФ00-004133;Покупатель 19;80
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;16 января 2026 г.;НФ00-004130;Покупатель 20;800
GECO Крем гидрофильный СП, 100 мл, Лам, Винт;00-000968;Отгрузить;27 февраля 2026 г.;НФ00-003440;Покупатель 21;3000
