product_code;work_center_name;priority_order;min_quantity;max_quantity
00-000937;WC_SEMI_AUTO_VISCOUS;1;;
00-000931;WC_TUBE_LINE_1;1;;
00-000773;WC_TUBE_LINE_1;1;;
00-001586;WC_SEMI_AUTO_VISCOUS;1;;
00-000967;WC_TUBE_LINE_1;1;;
00-000772;WC_TUBE_LINE_1;1;;
00-001259;WC_SEMI_AUTO_VISCOUS;1;;
00-001587;WC_SEMI_AUTO_VISCOUS;1;;
00-000631;WC_TUBE_LINE_1;1;;
00-000630;WC_TUBE_LINE_1;1;;
00-000771;WC_TUBE_LINE_1;1;;
00-000936;WC_TUBE_LINE_1;1;;
00-001419;WC_SEMI_AUTO_VISCOUS;1;;
00-000970;WC_TUBE_LINE_1;1;;
00-001190;WC_TUBE_LINE_1;1;;
00-001417;WC_SEMI_AUTO_VISCOUS;1;;
00-000634;WC_TUBE_LINE_1;1;;
00-000635;WC_TUBE_LINE_1;1;;
00-001686;WC_SEMI_AUTO_VISCOUS;1;;
00-000838;WC_TUBE_LINE_1;1;;
00-000839;WC_TUBE_LINE_1;1;;
00-000515;WC_SEMI_AUTO_VISCOUS;1;;
00-001170;WC_FILL_LINE_1;1;1001;
00-001170;WC_SEMI_AUTO_VISCOUS;2;;1000
00-001233;WC_FILL_LINE_1;1;1001;
00-001233;WC_SEMI_AUTO_VISCOUS;2;;1000
00-001564;WC_SEMI_AUTO_VISCOUS;1;;
00-000522;WC_FILL_LINE_1;1;1001;
00-000522;WC_SEMI_AUTO_VISCOUS;2;;1000
00-001783;WC_FILL_LINE_1;1;1001;
00-001783;WC_SEMI_AUTO_VISCOUS;2;;1000
00-000493;WC_BULK_POUR;1;;
00-001569;WC_FILL_LINE_1;1;1001;
00-001569;WC_SEMI_AUTO_VISCOUS;2;;1000
00-001268;WC_SEMI_AUTO_VISCOUS;1;;
00-000777;WC_TUBE_LINE_2;1;;
00-001630;WC_SEMI_AUTO_VISCOUS;1;;
00-000648;WC_TUBE_LINE_2;1;;
00-001418;WC_SEMI_AUTO_VISCOUS;1;;
00-001366;WC_TUBE_LINE_2;1;;
00-001425;WC_FILL_LINE_2;1;3001;
00-001425;WC_SEMI_AUTO_LIQUID;2;;3000
00-001401;WC_FILL_LINE_2;1;3001;
00-001401;WC_SEMI_AUTO_LIQUID;2;;3000
00-001645;WC_FILL_LINE_2;1;3001;
00-001645;WC_SEMI_AUTO_LIQUID;2;;3000
00-001687;WC_FILL_LINE_2;1;3001;
00-001687;WC_SEMI_AUTO_LIQUID;2;;3000
00-000939;WC_TUBE_LINE_2;1;;
00-001413;WC_TUBE_LINE_2;1;;
