Номенклатура;_Наименование;Доля;Категория
Бентонит;Масса СЕВЕРЯНИН Паста;0.025;Масса
Консервант Катон CG;Масса СЕВЕРЯНИН Паста;0.003;Масса
Лауретсульфат натрия (SLES);Масса СЕВЕРЯНИН Паста;0.08;Масса
Масса СК-СО2 экстракт спаржи (побеги) 10%;Масса СЕВЕРЯНИН Паста;0.003;Масса
Скорлупа фундука ореха 0,1-0,4;Масса СЕВЕРЯНИН Паста;0.1;Масса
Соль мелкого помола;Масса СЕВЕРЯНИН Паста;0.0093;Масса
Диоксид титана;Масса СЕВЕРЯНИН Паста;0.005;Масса
Ксантановая камедь;Масса СЕВЕРЯНИН Паста;0.005;Масса
Бетаин кокоамидопропил;Масса СЕВЕРЯНИН Паста;0.03;Масса
"Отдушка ""MANGO FRAGRAND""";Масса СЕВЕРЯНИН Паста;0.001;Масса
Кокодиэтаноламид (ДЭА);Масса СЕВЕРЯНИН Паста;0.02;Масса
Вазелин;Масса СЕВЕРЯНИН Крем универсальный;0.004;Масса
Консервант Kemaben;Масса СЕВЕРЯНИН Крем универсальный;0.004;Масса
Масло подсолнечное рафинированное;Масса СЕВЕРЯНИН Крем универсальный;0.05;Масса
Моностеарат глицерина;Масса СЕВЕРЯНИН Крем универсальный;0.012;Масса
Отдушка Алоэ Вера IFF 628;Масса СЕВЕРЯНИН Крем универсальный;0.0008;Масса
Триэтаноламин (ТЭА);Масса СЕВЕРЯНИН Крем универсальный;0.0012;Масса
Каолин;Масса СЕВЕРЯНИН Крем универсальный;0.005;Масса
Стеариновая кислота;Масса СЕВЕРЯНИН Крем универсальный;0.03;Масса
Масса СК-СО2 экстракт спаржи (побеги) 10%;Масса СЕВЕРЯНИН Крем универсальный;0.001;Масса
Цетостеариловый спирт;Масса СЕВЕРЯНИН Крем универсальный;0.02;Масса
Д-пантенол;Масса СЕВЕРЯНИН Крем регенерирующий;0.0001;Масса
Консервант Kemaben;Масса СЕВЕРЯНИН Крем регенерирующий;0.004;Масса
Масло подсолнечное рафинированное;Масса СЕВЕРЯНИН Крем регенерирующий;0.05;Масса
Масса СК-СО2 экстракт спаржи (побеги) 10%;Масса СЕВЕРЯНИН Крем регенерирующий;0.0015;Масса
Моностеарат глицерина;Масса СЕВЕРЯНИН Крем регенерирующий;0.012;Масса
Отдушка Алоэ Вера IFF 628;Масса СЕВЕРЯНИН Крем регенерирующий;0.0008;Масса
Триэтаноламин (ТЭА);Масса СЕВЕРЯНИН Крем регенерирующий;0.0014;Масса
Стеариновая кислота;Масса СЕВЕРЯНИН Крем регенерирующий;0.03;Масса
Цетостеариловый спирт;Масса СЕВЕРЯНИН Крем регенерирующий;0.02;Масса
Консервант Kemaben;Масса СЕВЕРЯНИН Крем гидрофобный;0.004;Масса
Масло подсолнечное рафинированное;Масса СЕВЕРЯНИН Крем гидрофобный;0.05;Масса
Масса СК-СО2 экстракт спаржи (побеги) 10%;Масса СЕВЕРЯНИН Крем гидрофобный;0.00075;Масса
Моностеарат глицерина;Масса СЕВЕРЯНИН Крем гидрофобный;0.012;Масса
Триэтаноламин (ТЭА);Масса СЕВЕРЯНИН Крем гидрофобный;0.0012;Масса
Вазелин;Масса СЕВЕРЯНИН Крем гидрофобный;0.005;Масса
Стеариновая кислота;Масса СЕВЕРЯНИН Крем гидрофобный;0.03;Масса
Отдушка Алоэ Вера IFF 628;Масса СЕВЕРЯНИН Крем гидрофобный;0.001;Масса
Цетостеариловый спирт;Масса СЕВЕРЯНИН Крем гидрофобный;0.02;Масса
Консервант Kemaben;Масса СЕВЕРЯНИН Крем гидрофильный;0.004;Масса
Масло подсолнечное рафинированное;Масса СЕВЕРЯНИН Крем гидрофильный;0.05;Масса
Масса СК-СО2 экстракт спаржи (побеги) 10%;Масса СЕВЕРЯНИН Крем гидрофильный;0.00075;Масса
Моностеарат глицерина;Масса СЕВЕРЯНИН Крем гидрофильный;0.012;Масса
Отдушка Алоэ Вера IFF 628;Масса СЕВЕРЯНИН Крем гидрофильный;0.0008;Масса
