product_code;product_name;location;quantity;product_status;reserved_quantity
00-00004121;GECO Гель дезинфицирующий д50, 200 мл, Лам, ФТ;WH_FG;9;FINISHED;0
00-00001916;GECO Гель дезинфицирующий МТ, 1 л, Флакон, Крышка;WH_FG;0;FINISHED;0
00-00000427;GECO Гель дезинфицирующий, 1 л, Картридж, Крышка;WH_FG;0;FINISHED;0
НФ-00000063;GECO Гель дезинфицирующий, 1 л, Флакон, Дозатор;WH_FG;50;FINISHED;0
00-00001903;GECO Гель дезинфицирующий, 1 л, Флакон, Крышка;WH_FG;576;FINISHED;0
00-00001883;GECO Гель дезинфицирующий, 100 мл, Лам, Винт;WH_FG;16239;FINISHED;0
БП-00000109;GECO Гель дезинфицирующий, 100 мл, Лам, ФТ;WH_FG;87;FINISHED;0
00-00001924;GECO Гель дезинфицирующий, 100 мл, Флакон, Диск-топ;WH_FG;0;FINISHED;0
00-00001884;GECO Гель дезинфицирующий, 1000 кг, Куб,;WH_FG;0;FINISHED;0
00-00004331;GECO Гель дезинфицирующий, 2 л, Канистра, Дозатор;WH_FG;0;FINISHED;0
00-00000428;GECO Гель дезинфицирующий, 2 л, Картридж, Крышка;WH_FG;0;FINISHED;0
00-00001902;GECO Гель дезинфицирующий, 2 мл, Саше, Саше;WH_FG;0;FINISHED;0
00-00001910;GECO Гель дезинфицирующий, 20 л, Канистра, Крышка;WH_FG;0;FINISHED;0
00-00001926;GECO Гель дезинфицирующий, 250 мл, Флакон, Диск-топ;WH_FG;0;FINISHED;0
00-00002023;GECO Гель дезинфицирующий, 250 мл, Флакон, Дозатор;WH_FG;0;FINISHED;0
00-00000286;GECO Гель дезинфицирующий, 5 л, Канистра, Крышка;WH_FG;422;FINISHED;0
00-00001899;GECO Гель дезинфицирующий, 5 л, ПЭТ, Крышка;WH_FG;0;FINISHED;0
00-00001281;GECO Крем гидрофильный д40, 200 мл, Лам, Винт;WH_FG;2030;FINISHED;0
00-00002066;GECO Крем гидрофильный д50, 200 мл, Экст, Винт;WH_FG;0;FINISHED;0
00-00001241;GECO Крем гидрофильный СП, 1 л, Флакон, Дозатор;WH_FG;51;FINISHED;0
00-00001693;GECO Крем гидрофильный СП, 100 мл, Лам, Винт;WH_FG;1027;FINISHED;0
00-00001251;GECO Крем гидрофильный СП, 100 мл, Лам, ФТ;WH_FG;21499;FINISHED;0
00-00001607;GECO Крем гидрофильный СП, 100 мл, Экст, ФТ;WH_FG;0;FINISHED;0
00-00004334;GECO Крем гидрофильный СП, 2 л, Канистра, Дозатор;WH_FG;0;FINISHED;0
00-00003547;GECO Крем гидрофильный СП, 2 л, Картридж, Крышка;WH_FG;0;FINISHED;0
00-00004669;GECO Крем гидрофильный СП, 5 л, Канистра, Крышка;WH_FG;0;FINISHED;0
00-00000429;GECO Крем гидрофильный, 1 л, Картридж, Крышка;WH_FG;0;FINISHED;0
БП-00000090;GECO Крем гидрофильный, 1 л, Флакон, Дозатор;WH_FG;0;FINISHED;0
00-00000128;GECO Крем гидрофильный, 100 мл, Лам, Винт;WH_FG;283;FINISHED;0
БП-00000089;GECO Крем гидрофильный, 100 мл, Лам, ФТ;WH_FG;0;FINISHED;0
00-00000431;GECO Крем гидрофильный, 2 л, Картридж, Крышка;WH_FG;76;FINISHED;0
